time,sensing_steps,hit_count,miss_rate,mean_candidate_cell_count,mean_hit_axis_error_deg,mean_local_continuity_axis_change_deg
8642,88,86,0.022727272727272728,5.2727272727272725,45.51099523214001,11.581427203817718
8643,88,86,0.022727272727272728,5.215909090909091,42.06441851239494,13.160252935950433
8644,88,86,0.022727272727272728,5.295454545454546,43.28486851004884,14.350891651071104
8645,88,85,0.03409090909090909,5.454545454545454,43.62142940427704,16.892220166905506
8646,88,85,0.03409090909090909,5.25,41.691083943125754,12.61104740970692
8647,88,86,0.022727272727272728,5.215909090909091,43.494813526508295,14.487403608537635
8648,88,86,0.022727272727272728,5.181818181818182,41.85274478822817,11.925244016664195
8649,88,86,0.022727272727272728,5.454545454545454,39.87007129841113,14.16048643779132
8650,88,86,0.022727272727272728,5.5,42.01523602805156,14.696144214471213
8651,88,86,0.022727272727272728,5.3977272727272725,39.71790279501729,15.233996187463402
8652,88,86,0.022727272727272728,5.443181818181818,38.269409544287576,13.844294584563336
8653,88,86,0.022727272727272728,5.3977272727272725,41.29409680880854,14.059089895570411
8654,88,87,0.011363636363636364,5.3977272727272725,41.766868903596254,15.650121302615709
8655,88,87,0.011363636363636364,5.579545454545454,41.9010847135897,14.068923461611996
8656,88,88,0.0,5.545454545454546,42.764446452157465,14.167193744118515
8657,88,88,0.0,5.613636363636363,42.27958074070408,12.991212900718763
8658,88,88,0.0,5.534090909090909,45.78461572680795,12.591405998086282
8659,88,88,0.0,5.454545454545454,47.63897299574816,14.830681940479714
8660,88,88,0.0,5.363636363636363,47.89538566913486,13.619246563056665
8661,88,88,0.0,5.318181818181818,45.79802215993613,17.482823353789954
8662,88,88,0.0,5.3522727272727275,45.78045852922851,14.839628170908394
8663,88,88,0.0,5.159090909090909,45.02002132600207,13.468454338111883
8664,88,88,0.0,5.386363636363637,44.92000400647585,13.953078693168333
8665,88,88,0.0,5.511363636363637,43.90158295070082,11.802254336246927
8666,88,88,0.0,5.454545454545454,43.373619201458446,15.904219186927191
