time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3815,forager,15,0.7853981633974483,0.9606004975669121,0.8582674956776888,1.453482617950044,55.03835430875097,49.17510519559419,83.27841960416339,0.0866900445167386,0.31643879728021085,-0.09434390474532164,0.4542208239931146,False,
3815,transporter,16,0.7853981633974483,0.7122044429514784,0.7853981633974483,1.4656623359612486,40.806308731585524,45.0,83.97626604186489,-0.006390467264424653,0.40898599380813505,0.08841201723696823,0.3485850797319341,False,
3815,follower,69,0.7853981633974483,0.8222127563118914,0.7853981633974484,1.3290979854722635,47.10932079848982,45.00000000000001,76.15170512690071,-0.046461375119950674,0.38205388698992787,-0.02366374028387668,0.412255219649806,False,
3816,forager,15,0.7853981633974483,0.8583779982370623,0.7229002448817761,1.45099866336107,49.18143652587169,41.41913304069946,83.13609948971303,0.07637785896309318,0.35669543968815315,-0.08321793083438471,0.409915367975468,False,
3816,transporter,16,0.7853981633974483,0.7021487608048208,0.7853981633974483,1.385216878787992,40.23016058445699,45.0,79.36708086483686,0.011746618534931953,0.4148328336893855,0.0869498155174319,0.34712287801239694,False,
3816,follower,69,0.7853981633974483,0.8121196652960581,0.7853981633974484,1.3215734362406144,46.53102928104116,45.00000000000001,75.7205802131888,-0.04492075495159291,0.3868648761125254,-0.026496040372009314,0.40796095302266083,False,
3817,forager,15,0.7853981633974483,0.7991923259371848,0.8519032423300416,1.151354151778508,45.79034729544436,48.810460339022,65.9677336217733,0.06806214722074831,0.39446725399753163,-0.08033529939087919,0.4054409878229965,False,
3817,transporter,16,0.7853981633974483,0.649201975135063,0.7853981633974483,1.3975713240962038,37.19653322679612,45.0,80.0749384392226,0.01867599892781941,0.4227555922537013,0.10403955758865625,0.316127297334288,False,
3817,follower,69,0.7853981633974483,0.8150972627927473,0.7853981633974484,1.5118496440898248,46.70163305069017,45.00000000000001,86.62260386470258,-0.03684983788208646,0.38243702238633887,-0.017306869486631026,0.4049389534631258,False,
3818,forager,15,0.7853981633974483,0.8185356881628183,0.7496868405843186,1.400706065098009,46.898640312565945,42.95389192197841,80.25454586849266,0.02189479301982027,0.3724344873614738,-0.1435246992174356,0.3961885555399549,False,
3818,transporter,16,0.7853981633974483,0.6149040651571238,0.7853981633974483,1.3975713240962058,35.231407738940575,45.0,80.07493843922272,0.025818712252836044,0.4300293146949252,0.09734157438270688,0.29711568640326647,False,
3818,follower,69,0.7853981633974483,0.7905342278549587,0.7853981633974483,1.3512072514377522,45.2942748167225,45.0,77.41847275485544,-0.03779072178872388,0.3926200481357287,0.008064105414589365,0.39715339520150206,False,
3819,forager,15,0.7853981633974483,0.8941056969847815,1.2112893878691828,1.3854506354687932,51.228482875830835,69.40176969388915,79.38047413607977,0.06772242071119948,0.32997337019008666,-0.05323326844409957,0.4160986328663219,False,
3819,transporter,16,0.7853981633974483,0.5933214599122172,0.7853981633974483,1.2024732918482086,33.994815547510505,45.0,68.89664460010525,0.04018746987723243,0.4428504253858733,0.08632367213109333,0.29190106063373744,False,
3819,follower,69,0.7853981633974483,0.7869794861630908,0.7853981633974483,1.510084474271428,45.09060312051927,45.0,86.52146708398458,-0.04802563257688972,0.3863297960657006,0.006246109006952794,0.3873328735086583,False,
3820,forager,15,0.7853981633974483,0.9359161989991269,0.9358298923802476,1.498788830395204,53.624048180576054,53.619103175570224,85.87427436299414,0.039870255731723044,0.31302921294511155,-0.03897560161138136,0.4307476154664899,False,
3820,transporter,16,0.7853981633974483,0.6916781560413812,0.7853981633974483,1.31151250729005,39.63023912256232,45.0,75.14413144634048,0.05235205967310579,0.4170814647064174,0.07045538099958107,0.3424301586388686,False,
3820,follower,69,0.7853981633974483,0.7650508096608474,0.7853981633974483,1.481872210270744,43.83418250663302,45.0,84.90502342623651,-0.04742321842142256,0.3975028329809666,-0.007330653096187884,0.3809803379756264,False,
