time,forager_count,forager_phi,forager_psi,forager_sufficient,transporter_count,transporter_phi,transporter_psi,transporter_sufficient,follower_count,follower_phi,follower_psi,follower_sufficient
7670,0,,,False,7,0.2702345610797951,0.7480150891969045,True,93,-0.02488373232698656,0.6599370583755069,True
7671,0,,,False,7,-0.0600449438669988,0.6753294216954799,True,93,0.08203564181498545,0.6765291455875156,True
7672,0,,,False,7,0.2387485348359344,0.7001251118354919,True,93,-0.03546932474677258,0.6821966747514887,True
7673,0,,,False,7,0.22475845717559523,0.7335397059506515,True,93,0.08563713120863257,0.6815229294422707,True
7674,0,,,False,7,0.1898834471208723,0.7374433870764616,True,93,0.006621287308660334,0.656010873818106,True
7675,0,,,False,7,0.23166358789104993,0.7457694532825939,True,93,0.0364445060981447,0.6726529993067805,True
7676,0,,,False,7,0.2382020751731411,0.6733010920062091,True,93,0.006826756589982336,0.6726774558127626,True
7677,0,,,False,7,-0.01854518061048836,0.7932243263311669,True,93,0.1193077013349511,0.6342395556054984,True
7678,0,,,False,7,-0.016990794226707857,0.6743231371457648,True,93,0.10245922784391064,0.6969652605737099,True
7679,0,,,False,7,0.12876963340107148,0.5343183585244383,True,93,0.10301008781349853,0.6633491337561607,True
7680,0,,,False,7,-0.20374834410046924,0.5733168760800166,True,93,0.07536937076920713,0.6596769028728118,True
7681,0,,,False,7,0.09391019722255652,0.6256802184054369,True,93,-0.08885095646461123,0.6445157647564348,True
7682,0,,,False,7,0.47574034057853554,0.6581265204539758,True,93,-0.027522955627944348,0.6721106268487677,True
7683,0,,,False,7,0.513147562549297,0.6450327291488777,True,93,-0.04201123638251621,0.6638615651207604,True
7684,0,,,False,7,-0.24165569466877315,0.7020273726266147,True,93,0.03689610873596016,0.6318819298440399,True
7685,0,,,False,7,-0.4821195787215609,0.7033749310457703,True,93,0.013533215865817714,0.6496355172044181,True
7686,0,,,False,7,-0.33424031535966814,0.591830052924446,True,93,0.013572614456610767,0.6484910010494852,True
7687,0,,,False,7,-0.21018432258908654,0.6494192324403307,True,93,0.03014705609394414,0.6422102202246643,True
7688,0,,,False,7,-0.4930452880608289,0.8015785936364629,True,93,0.07238393625189929,0.6554671110913481,True
7689,0,,,False,7,-0.6236483843456556,0.8331838615002303,True,93,0.16188971245339787,0.6845627957150261,True
7690,0,,,False,7,-0.5269946174567843,0.827087120914381,True,93,0.028457383720371633,0.6460451421223651,True
7691,0,,,False,7,-0.4399396534919705,0.9129877186331286,True,93,-0.02991774756010858,0.5966085450235571,True
7692,0,,,False,7,-0.4498501933586709,0.9057897267141979,True,93,-0.004421961057583266,0.6433457054912636,True
7693,0,,,False,7,-0.3218303426127725,0.8844629743601226,True,93,-0.12175667632172166,0.6483336150533511,True
7694,0,,,False,7,-0.3233416025619844,0.8189769311133487,True,93,0.06224167453740141,0.681972222024794,True
7695,0,,,False,7,0.01863288901708041,0.8097747660240683,True,93,-0.033064094829607656,0.6454861099208345,True
7696,0,,,False,7,0.05421710260315089,0.7913673328513222,True,93,0.06999959511406592,0.6699445269319483,True
7697,0,,,False,7,0.46576087784894593,0.8504599129676628,True,93,-0.0021987286420717387,0.6544987397844175,True
7698,0,,,False,7,0.42844113051999366,0.8651153124895838,True,93,0.06705943818464019,0.6517297465985636,True
7699,0,,,False,7,0.6854906342683981,0.9146411763286801,True,93,0.004110500698059466,0.6670744072362729,True
7700,0,,,False,7,0.6046025858242025,0.9003005556708844,True,93,0.0157713703181396,0.6542562711583827,True
7701,0,,,False,7,0.49008868472155237,0.8945115666286951,True,93,0.06218651163300307,0.6455922820342119,True
7702,0,,,False,7,0.5844391768667282,0.8905208904896403,True,93,0.07433195724853277,0.5925966658914976,True
7703,0,,,False,7,0.514211568048385,0.8844517610779139,True,93,0.12392493546064148,0.5752875123843124,True
7704,0,,,False,7,0.682360577943906,0.8359791355355957,True,93,0.008698696063032552,0.5970467385085971,True
7705,0,,,False,7,-0.04302760888395588,0.7215552604691263,True,93,0.03260701383451427,0.5932330384120323,True
7706,0,,,False,7,-0.15046297729427355,0.8002357794059327,True,93,0.06168394370015831,0.6639851729911648,True
7707,0,,,False,7,-0.1559655084548252,0.8024402983666035,True,93,0.01604762405668876,0.6723570682413317,True
7708,0,,,False,7,-0.10843803450599812,0.8628595039187087,True,93,0.1047812147766279,0.6767836963556256,True
7709,0,,,False,7,-0.08869751878067755,0.8846694044647511,True,93,0.04674219908104375,0.6658963668776869,True
7710,0,,,False,7,-0.29549283449876024,0.8379122196353131,True,93,0.043585426488598075,0.6843123228044233,True
7711,0,,,False,7,-0.2954869965299753,0.7433347629915683,True,93,0.020281277492241654,0.6530497782707813,True
7712,0,,,False,7,-0.2222540942427573,0.7440185395725237,True,93,0.16366770846152578,0.6757693776323564,True
7713,0,,,False,7,-0.3016227265918644,0.7007597812041538,True,93,0.07213198974685707,0.6587881531901677,True
7714,0,,,False,7,-0.21257138610324317,0.6898936892694566,True,93,0.13358871466745836,0.6405702225031515,True
7715,0,,,False,7,-0.3491001623072902,0.5798343981842993,True,93,0.0282254602813461,0.6319595378074029,True
7716,0,,,False,7,0.1867459593946175,0.7072366849372921,True,93,-0.06933295400375189,0.6357868572784159,True
7717,0,,,False,7,0.034308536722400654,0.6974756567137067,True,93,-0.12883854307841086,0.6398999013835633,True
7718,0,,,False,7,0.10404676198087233,0.7121172006942218,True,93,-0.17581705373678724,0.6214296182904461,True
7719,0,,,False,7,0.24422134033781542,0.7432844311163257,True,93,-0.17353397750150543,0.672788367568857,True
7720,0,,,False,7,-0.30769368867017377,0.5085549290352099,True,93,-0.09935045627857489,0.6753804327128332,True
7721,0,,,False,7,0.17025842119859824,0.5676103683520594,True,93,-0.004253829675982775,0.6586330822584743,True
7722,0,,,False,7,-0.5112363723482563,0.5272562082177569,True,93,0.00018744424279528525,0.6922200287433697,True
7723,0,,,False,7,0.29496499576668356,0.6551282354339113,True,93,0.11476307989240468,0.7242129615090587,True
7724,0,,,False,7,0.4159557225006889,0.7285100367007736,True,93,0.13101260532358122,0.6849456025922238,True
7725,0,,,False,7,0.4897939683194492,0.713602153371987,True,93,0.20754569339689724,0.667583837304657,True
7726,0,,,False,7,0.40939082811620586,0.737928603237308,True,93,0.13149865646008532,0.653568990271354,True
7727,0,,,False,7,0.13149356586501482,0.6284978607327036,True,93,0.09678904037102402,0.6292464265598847,True
7728,0,,,False,7,0.11247482238118377,0.6029000179529359,True,93,-0.007075493406335421,0.5950903881517536,True
7729,0,,,False,8,0.18868316771835228,0.5814241703523989,True,92,0.06312514618897727,0.6108846088172425,True
7730,0,,,False,8,0.13912057816030626,0.607272519689441,True,92,0.04921828753891832,0.6063270446821868,True
7731,0,,,False,8,0.07406526810520206,0.6824896333294019,True,92,-0.07646671654671877,0.6241512246271448,True
7732,0,,,False,8,-0.2518367280428466,0.6981404257867435,True,92,-0.028059975763382917,0.6496097055371995,True
7733,0,,,False,8,-0.1802662128867687,0.5644399232594276,True,92,-0.08626332810053584,0.6798256289968556,True
7734,0,,,False,8,-0.07305287913404972,0.5631923211332035,True,92,-0.025778918683213418,0.7090845582729814,True
7735,0,,,False,8,-0.21069874758192875,0.4864470868968755,True,92,0.007889155350648646,0.6915971884450506,True
7736,0,,,False,8,-0.12056551590010925,0.529592889714375,True,92,-0.09838679348292573,0.7010217240385598,True
7737,0,,,False,8,-0.017428599822450846,0.4223118785157874,True,92,0.026128892477363937,0.6985632144223393,True
7738,0,,,False,8,0.029855593606513575,0.43047037743636246,True,92,-0.01681718263856465,0.6600411465053801,True
7739,0,,,False,8,0.40818070236121623,0.5499842423715332,True,92,0.09141826280387884,0.6783265824756538,True
7740,0,,,False,8,0.12255257956245136,0.5395540250926747,True,92,-0.016066874780805773,0.6195327729392568,True
7741,0,,,False,8,0.4993979731289846,0.6440592289486112,True,92,-0.009099703992434224,0.6392044586968616,True
7742,0,,,False,8,0.10466845739027061,0.5774172936805815,True,92,-0.05385664420247768,0.626472233002839,True
7743,0,,,False,8,0.22496211866566637,0.6433525365810033,True,92,-0.027516879408849875,0.6617954207420693,True
7744,0,,,False,8,0.22726883978538487,0.6434806572659785,True,92,-0.08906162338396947,0.6254661876646409,True
7745,0,,,False,8,0.19707195551020462,0.6207445227360817,True,92,-0.05525720844733563,0.6369232876919803,True
7746,0,,,False,8,0.03549376292328414,0.6304361485563175,True,92,-0.025818419836734767,0.666650405020715,True
7747,0,,,False,8,0.11392436358446811,0.5674397301512392,True,92,0.023775516626390266,0.6798013251438437,True
7748,0,,,False,8,0.5088194809299075,0.6698993287280345,True,92,0.09697049468293165,0.7151504276606703,True
7749,0,,,False,8,0.5747094191760724,0.6061498985089185,True,92,0.11514730215495586,0.6921643087651472,True
7750,0,,,False,8,0.4092254707060165,0.5396622510143655,True,92,0.025079828757436858,0.6832035315615983,True
7751,0,,,False,8,0.2469796972708903,0.5859972227803165,True,92,-0.1283528574860459,0.6731325067060178,True
7752,0,,,False,8,0.154344360337682,0.572370230845134,True,92,-0.02103034107211564,0.6651942366582781,True
7753,0,,,False,8,-0.0334873647068995,0.6304673097954838,True,92,0.17449371412113812,0.6680412899349628,True
7754,0,,,False,8,-0.08854663547552219,0.6632160914134566,True,92,0.11879788159018688,0.6605477230382337,True
7755,0,,,False,8,-0.06792897727961972,0.6425039181306409,True,92,-0.07255839846983106,0.6091256595293042,True
7756,0,,,False,8,0.014292402335200044,0.6167032751123105,True,92,-0.08388538789896939,0.5883209488966377,True
7757,0,,,False,8,0.7035720876298409,0.8255973513805158,True,92,-0.07590636754706052,0.6230503497587879,True
7758,0,,,False,8,0.8145216295782202,0.83583967613627,True,92,-0.07073483620815456,0.6566404220981292,True
7759,0,,,False,8,0.9279021438816724,0.8606053096729275,True,92,-0.056095049255432065,0.65738956193394,True
7760,0,,,False,8,0.3347750636802126,0.5711711064781129,True,92,-0.23774376473221698,0.6688045849222615,True
7761,0,,,False,8,0.03522555693696011,0.3991736847750955,True,92,-0.08637966361737143,0.6517783886065718,True
7762,0,,,False,8,-0.24068428029789873,0.5695530493101322,True,92,0.02291993146042645,0.6788632892973733,True
7763,0,,,False,8,0.22673116513791033,0.6398934196770205,True,92,0.09065702919148232,0.6982751417094887,True
7764,0,,,False,8,-0.029647339134011907,0.6992927523273043,True,92,0.06254509433055067,0.6674458925787226,True
7765,0,,,False,8,-0.07485394120524436,0.662213372539095,True,92,0.09684989850004133,0.6509306658870677,True
7766,0,,,False,8,-0.07474806251470001,0.7364933916778528,True,92,0.018505651310113364,0.6626279907184084,True
7767,0,,,False,8,-0.1615718108765114,0.6871560172240132,True,92,0.1656410464374196,0.639181648542154,True
7768,0,,,False,8,0.14815450733264882,0.6883907506805825,True,92,0.11990652931455303,0.6199358055667055,True
7769,0,,,False,8,-0.1858931028804417,0.6279952749969656,True,92,0.13699098930550702,0.5998517682667479,True
7770,0,,,False,8,0.4290794133302437,0.768479165700908,True,92,-0.0333421273590092,0.6070282766290164,True
7771,0,,,False,8,0.16114925533502317,0.7008817542586109,True,92,-0.02632271511103449,0.6210185620686015,True
7772,0,,,False,8,0.3043445639727788,0.6727169632623536,True,92,0.023667906060493207,0.6133279967385894,True
7773,0,,,False,8,-0.04528595345743518,0.5510946874252999,True,92,0.015934129694304962,0.6494695018065512,True
7774,0,,,False,8,-0.0699317381610083,0.5272039920735632,True,92,0.0972148805695548,0.6839898126838488,True
7775,0,,,False,8,-0.061990286458119284,0.514836679730969,True,92,0.013477612678267581,0.6749423606055558,True
7776,0,,,False,8,-0.23252506778067214,0.6806250916306198,True,92,0.009800274794239741,0.6859011317146384,True
7777,0,,,False,8,-0.3175967949821149,0.6626495199897315,True,92,0.0748014252811152,0.6872006091987659,True
7778,0,,,False,8,-0.688997350402905,0.75921379726398,True,92,0.16978833136745064,0.6893429716412519,True
7779,0,,,False,8,-0.40777742041632814,0.5743903452103408,True,92,0.06993252281286777,0.6596276283198956,True
7780,0,,,False,8,-0.30867214663609405,0.6240581324504054,True,92,-0.04647535507061149,0.6003978385987889,True
7781,0,,,False,8,-0.03764298021799811,0.5878529422876064,True,92,-0.11494762736189129,0.6007521246153171,True
7782,0,,,False,8,-0.32565357084941116,0.6418493258425142,True,92,-0.1520598078476569,0.6354360529953547,True
7783,0,,,False,8,-0.10987500325272803,0.5560172984237335,True,92,-0.23549102371415642,0.653083904356655,True
7784,0,,,False,8,-0.11674567056888135,0.5837744918781446,True,92,-0.11538088511701775,0.6646011381792154,True
7785,0,,,False,8,-0.12945579610795654,0.5574563689623238,True,92,-0.059586482307288684,0.6880297673449822,True
7786,0,,,False,8,-0.02423171510985231,0.5978889184239141,True,92,-0.01582070605316724,0.706920328782922,True
7787,0,,,False,8,-0.10211055826650864,0.5819695812871993,True,92,-0.06739639273111354,0.7051669171872744,True
7788,0,,,False,8,-0.09068002463060298,0.71313139812074,True,92,0.00592867472338836,0.6586663247406684,True
7789,0,,,False,8,-0.05555696510950875,0.6598467049067691,True,92,0.0928320257201907,0.6660135047021779,True
7790,0,,,False,8,-0.055556965109509304,0.6598467049067681,True,92,0.1052445087435541,0.624822012917183,True
7791,0,,,False,8,0.04167991354029463,0.6779606177501091,True,92,0.10916942819369266,0.5876757119353695,True
7792,0,,,False,8,-0.3162355879567189,0.5922120006301285,True,92,0.13927869902864917,0.5864877214777259,True
7793,0,,,False,8,-0.09558178312029633,0.6552466852166445,True,92,0.11067907411270737,0.5815175556484514,True
7794,0,,,False,8,-0.39796426121695194,0.6934438426729436,True,92,-0.004246782490385198,0.5917134648844649,True
7795,0,,,False,8,-0.3864955414792664,0.6724202003979329,True,92,0.031031656520707596,0.6330529082479096,True
7796,0,,,False,8,-0.35651904473244256,0.6959192517122593,True,92,-0.03851170421268296,0.6227035285201092,True
7797,0,,,False,8,0.06341162924611093,0.5905055814626071,True,92,0.09169951335575764,0.6398873511682519,True
7798,0,,,False,8,0.44074195795721066,0.675405126719111,True,92,-0.008919398814287369,0.6751275493769537,True
7799,0,,,False,8,0.360832607087809,0.6428031475303344,True,92,0.05969560974975461,0.7161816441533713,True
7800,0,,,False,8,0.05849990792410409,0.6336846099723435,True,92,0.0214577099884187,0.6584300149489805,True
7801,0,,,False,8,-0.024771300783817507,0.7423823826170908,True,92,0.002131094509695776,0.6453774169864158,True
7802,0,,,False,8,-0.11107523241760453,0.7026275537514252,True,92,0.044271339278096844,0.6543500806643497,True
7803,0,,,False,8,-0.05163174971641271,0.7394732477253714,True,92,-0.009790231553032968,0.6342932266116751,True
7804,0,,,False,8,-0.14497963823012666,0.7128976285536384,True,92,-0.08195682433740284,0.6349724616573063,True
7805,0,,,False,8,-0.052841294844701736,0.7713149621553236,True,92,-0.07615651617802699,0.60038384515975,True
7806,0,,,False,8,-0.31486136126484116,0.7443650094168736,True,92,0.03320054482899613,0.6266909512889852,True
7807,0,,,False,8,-0.20551629194548685,0.6425166243199312,True,92,-0.1481399520565419,0.6289297596044984,True
7808,0,,,False,8,-0.18786434200053403,0.5870426821757444,True,92,-0.17334668181823817,0.6645230482140487,True
7809,0,,,False,8,0.1013119189912913,0.7010625974521216,True,92,-0.13508067684041408,0.6593672657391324,True
7810,0,,,False,8,0.09513136406399236,0.7025084004183146,True,92,-0.05169620832285231,0.715537845013917,True
7811,0,,,False,8,-0.1073133077921192,0.6905404535584472,True,92,0.036752520261026815,0.7127969538925729,True
7812,0,,,False,8,-0.1634174434959695,0.7070469945297351,True,92,0.17152491184069288,0.6943334129540948,True
7813,0,,,False,8,-0.15714852394830003,0.7046723549494899,True,92,0.0550203754046984,0.6227799990887056,True
7814,0,,,False,8,-0.1637339797728444,0.7223283928252805,True,92,0.15841415807130826,0.624048910591332,True
7815,0,,,False,8,0.2609036683694189,0.7076206492396239,True,92,0.05809211106713364,0.6054965282938685,True
7816,0,,,False,8,0.2678188584431579,0.7076725529979505,True,92,0.10084198513153923,0.5954324382673183,True
7817,0,,,False,8,0.2609090342570034,0.5503008627701316,True,92,-0.017091728610841878,0.6235526907718381,True
7818,0,,,False,8,0.30507442154126607,0.5335564722679402,True,92,-0.009580242796309849,0.6393956478727464,True
7819,0,,,False,8,0.6528548615505603,0.6968554436307954,True,92,0.008299027893354424,0.6661590966388384,True
7820,0,,,False,8,0.7859905134395483,0.783079493036494,True,92,0.009544262002171709,0.6696547754691415,True
7821,0,,,False,8,0.5581318611103852,0.6029289132002258,True,92,0.03515628815588079,0.6899621210010228,True
7822,0,,,False,8,0.01729930874752772,0.4813892882565969,True,92,0.07779984760416088,0.7174848707852949,True
7823,0,,,False,8,-0.02852574496823934,0.5627331172041439,True,92,0.04926524940911494,0.6765468600590412,True
7824,0,,,False,8,-0.3804472465229139,0.7622064820508616,True,92,0.023066347601160057,0.6948836909271497,True
7825,0,,,False,8,-0.15776541542570446,0.7414602878015408,True,92,0.01592621005314369,0.703358611259737,True
7826,0,,,False,8,0.08515115164829654,0.6129232616169775,True,92,0.13056699047334488,0.6854434347005122,True
7827,0,,,False,8,0.07783256708355935,0.49274752548265793,True,92,0.10086602808826461,0.6500143807294648,True
7828,0,,,False,8,0.15756745452405535,0.6001672669478016,True,92,0.07092988367250416,0.6269520057147135,True
