leg_id,ant_id,source_role,transport_start_time,departure_x,departure_y,outbound_sample_count,outbound_path_length,outbound_endpoint_distance,outbound_path_efficiency,memory_waypoint_count,memory_path_length,nest_food_straight_distance,outbound_max_axis_distance,actual_return_distance,distance_increasing_steps,status,delivery_time,transport_time_steps,actual_return_endpoint_distance,actual_return_path_efficiency,site_axis_distance_over_actual_return,memory_to_outbound_length_ratio,memory_shortening_fraction,actual_to_memory_length_ratio,return_max_axis_distance,return_p90_axis_distance,distance_increasing_step_fraction,repeated_return_cell_fraction,anomalously_long_vs_site_axis,possible_looping,far_from_main_axis
76,69,follower,2865,239.70391909021842,236.88551987403693,532,318.5999999999998,206.92589807219474,0.6494849280357654,178,311.3650449638,212.13203435596427,21.88380754349572,311.3650449638004,78,completed_delivery,3384.0,519,206.92589807219474,0.6645765201301005,0.6812968821873596,0.977291415454489,0.022708584545510946,1.0000000000000013,21.790479625107537,14.192447494302543,0.15028901734104047,0.09615384615384615,False,False,True
77,25,follower,2876,240.84384111584507,236.94505013355956,2877,1725.0295826788952,210.58659064939687,0.1220770894388751,960,1664.5405558956872,212.13203435596427,166.20830069463423,1661.9999999999307,1141,completed_delivery,5646.0,2770,209.915075635949,0.12630269292175555,0.12763660310227024,0.9649344988685521,0.03506550113144791,0.9984737194376201,166.1298645185003,124.40188954834314,0.41191335740072205,0.057019126669072495,True,False,True
78,41,follower,2883,240.21855308242596,236.75541748273523,462,276.5999999999997,209.36637354237044,0.7569283208328658,155,273.923131081712,212.13203435596427,22.55860710981429,273.92313108171106,42,completed_delivery,3340.0,457,209.36637354237044,0.764325278831296,0.7744217639388966,0.9903222381840646,0.009677761815935382,0.9999999999999967,22.539182331537177,14.335343549873807,0.09190371991247265,0.058951965065502154,False,False,True
79,23,follower,2892,239.46287508452423,236.71799349472877,498,298.19999999999936,209.76591053649136,0.7034403438514145,167,295.13219946607046,212.13203435596427,29.849609743100416,294.59999999999974,55,completed_delivery,3383.0,491,209.93672780125542,0.7126161839825377,0.7200680052816173,0.989712271851345,0.010287728148654973,0.9981967421140983,29.533750196013415,23.31516257945433,0.1120162932790224,0.054878048780487854,False,False,True
80,42,follower,2894,239.25458865839605,236.98531208014577,2895,1736.2446626606259,209.4793884917675,0.12065084662132855,966,1676.7451570808569,212.13203435596427,123.11423679622733,1673.9999999999288,1203,completed_delivery,5684.0,2790,210.74526533904395,0.12589322899585,0.12672164537393865,0.9657309209586904,0.0342690790413096,0.998362806017757,122.74898624498552,92.9183215842271,0.4311827956989247,0.05732712289501973,True,False,True
81,80,follower,2926,238.7966992923583,236.66216185419182,2927,1753.4660471556172,208.92641632892108,0.11915053426202966,977,1678.40697159396,212.13203435596427,75.15809046747277,1675.7999999999286,1180,completed_delivery,5719.0,2793,208.9799375835428,0.12470458144381891,0.1265855318987787,0.957193881407961,0.04280611859203898,0.9984467583618557,75.11519019883924,52.2419698903376,0.42248478338703904,0.08052970651395852,True,False,True
82,32,follower,2928,241.66745369965497,237.17831839615195,2929,1755.6181171185785,211.33971211690448,0.12037909045035795,977,1696.3576058648873,212.13203435596427,157.50274864590975,1693.7999999999258,1065,completed_delivery,5751.0,2823,213.77710948366925,0.12621154178986813,0.12524030839294695,0.9662452154737654,0.033754784526234594,0.9984922955772303,157.41651720095118,129.89706073058002,0.37725823591923485,0.07188385269121811,True,False,True
83,54,follower,2932,239.75936748906003,236.8967694563831,462,276.5999999999999,208.06906704750807,0.7522381310466671,155,274.0584833117384,212.13203435596427,21.777102870444722,274.0584833117377,41,completed_delivery,3389.0,457,208.06906704750807,0.7592141083654484,0.7740392918786865,0.9908115810258081,0.00918841897419187,0.9999999999999973,21.757694498480916,14.195085936983082,0.08971553610503283,0.0393013100436681,False,False,True
84,10,follower,2960,240.82283768065636,236.83880131720045,2961,1775.6244063880158,210.49741551458033,0.11854839050268251,988,1708.238071112498,212.13203435596427,120.26656702928412,1705.799999999924,1145,completed_delivery,5803.0,2843,211.39751152244156,0.12392866193132313,0.12435926506974658,0.9620492177100699,0.037950782289930096,0.9985727568341888,119.91511015371162,103.95519866377258,0.4027435807245867,0.08614627285513365,True,False,True
85,34,follower,3124,239.74449780541565,236.89766375862803,475,284.4,210.44186222365664,0.7399502891127168,159,278.8977013286395,212.13203435596427,22.1168865223122,278.8977013286387,44,completed_delivery,3589.0,465,210.44186222365664,0.7545485718280726,0.7606087584995862,0.9806529582582263,0.019347041741773707,0.9999999999999969,22.08899003261017,15.604344951970743,0.09462365591397849,0.07081545064377681,False,False,True
86,79,follower,3143,239.77830045431313,236.90384114232802,3144,1882.3525648031462,209.79580031390722,0.11145404120181247,1049,1715.8201983488484,212.13203435596427,99.11088856142757,1712.999999999923,1221,completed_delivery,5998.0,2855,211.7233295306378,0.12359797404007433,0.12383656413074945,0.9115296626316582,0.08847033736834176,0.9983563555484197,98.73994304521602,64.172358715959,0.4276707530647986,0.09943977591036413,True,False,True
87,81,follower,3155,239.76132971825993,236.8799097641091,452,270.60000000000014,207.70621120567446,0.767576538084532,152,268.10981437812063,212.13203435596427,21.967018161099233,268.1098143781193,30,completed_delivery,3602.0,447,207.70621120567446,0.7747057364813332,0.7912132379338835,0.9907975402000019,0.00920245979999812,0.9999999999999951,21.901860142604775,14.417384975120788,0.06711409395973154,0.0714285714285714,False,False,True
88,89,follower,3160,237.72469522430993,237.9786022189184,3161,1894.0177890812283,209.0938839224623,0.11039700108830126,1055,1824.6297902920503,212.13203435596427,167.56308418816593,1822.1999999999064,1279,completed_delivery,6197.0,3037,206.80273267430653,0.11349068854918075,0.1164153409921936,0.9633646530728533,0.03663534692714665,0.9986683379252758,167.53704335015078,132.43828983357062,0.42113928218636815,0.07636603028308098,True,False,True
89,96,follower,3171,240.0010423008244,236.60466459351713,3172,1900.4616277464354,209.74565638389598,0.11036563607580548,1058,1827.914418531917,212.13203435596427,82.0081948660174,1825.199999999906,1352,completed_delivery,6213.0,3042,209.74039952239679,0.11491365303660289,0.11622399427787376,0.961826533008959,0.03817346699104096,0.9985150188080517,81.72696314188573,47.31668776131266,0.4444444444444444,0.08347025961222476,True,False,True
90,30,follower,3208,239.64805854813815,236.53052924825533,467,279.5999999999999,206.44940664297124,0.7383741296243609,157,270.80562076967595,212.13203435596427,21.82837155654269,270.805620769675,35,completed_delivery,3660.0,452,206.44940664297124,0.7623527386773118,0.7833368958629789,0.9685465692763807,0.03145343072361928,0.9999999999999964,21.77645160889776,13.873349052373827,0.07743362831858407,0.06843267108167772,False,False,True
91,97,follower,3239,240.11736304708168,236.74394563839056,443,265.19999999999976,207.92894578885702,0.7840457986005174,149,261.04938760569587,212.13203435596427,22.580127557568147,260.99999999999847,30,completed_delivery,3674.0,435,207.8949393124875,0.7965323345306081,0.812766415156956,0.9843491237017199,0.015650876298280103,0.9998108112562516,22.534794823325612,14.565825241701436,0.06896551724137931,0.0665137614678899,False,False,True
92,51,follower,3274,237.58641547792215,237.34915873258944,3275,1963.3352995612315,208.5510120158224,0.10622281994442295,1093,1891.814453322388,212.13203435596427,157.59100543013506,1888.7999999998963,1359,completed_delivery,6422.0,3148,208.3228504021303,0.11029375815445878,0.11231047985809822,0.9635717616574067,0.036428238342593344,0.9984065808794315,157.31847544398306,134.17118540874577,0.431702668360864,0.06668783740870121,True,False,True
